PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202100,CMMU-853,CFP PIURA,,1418755,0,0,8,,,0,,12/08/2021,1,1.3,2,12/06/2021,12/09/2021,12/09/2021,12/09/2021,11/29/2021,12/01/2021,,A3,
202100,CCAU-911,CFP TALARA,,821498,0,0,6,,,0,,,1,1.1,2,11/17/2021,11/24/2021,11/29/2021,11/24/2021,11/01/2021,11/07/2021,,AO,
202114,PIAC-304,CFP SULLANA,04PIACM301,1254292,0,0,10,,,0,,,,0.7,1,12/01/2021,12/01/2021,12/09/2021,12/01/2021,1/04/2022,1/29/2022,,AE,
202100,CMMU-853,CFP PIURA,,1418753,0,0,8,,,0,,12/08/2021,1,1.1,5,11/30/2021,12/07/2021,12/07/2021,12/07/2021,11/29/2021,12/01/2021,,A3,
202103,PIAC-204,CFP TUMBES,01PIACM201,1315144,0,0,23,,,0,,,0.15,0.4,1,8/02/2021,8/02/2021,11/12/2021,8/02/2021,6/16/2021,7/30/2021,,AG,
202100,CCAU-913,CFP PAITA,,1417414,0,0,4,,,0,,,,0.3,1,11/15/2021,11/15/2021,11/15/2021,11/15/2021,10/25/2021,10/31/2021,,AZ,
202100,CCAU-910,CFP TALARA,,821498,0,0,2,,,0,,,,0.5,3,11/17/2021,11/29/2021,11/29/2021,11/29/2021,10/25/2021,10/31/2021,,AN,
202103,PIAC-204,CFP SULLANA,,1373813,0,0,23,,,0,,,0.15,0.4,8,7/15/2021,10/20/2021,11/20/2021,10/20/2021,6/16/2021,7/30/2021,,AG,
202100,CMPU-533,CFP PIURA,,408092,0,0,5,,,0,,,1,0.5,2,12/02/2021,12/08/2021,12/09/2021,12/08/2021,12/02/2021,12/06/2021,,A4,
202114,PIAC-305,CFP SULLANA,04PIACM301,1256324,0,0,23,,,0,,,,0.1,3,10/18/2021,10/30/2021,12/07/2021,10/30/2021,2/01/2022,2/26/2022,,AF,
202100,CCAU-910,CFP PIURA,,1350740,0,0,2,,,0,,,,0.1,1,11/30/2021,11/30/2021,11/30/2021,11/30/2021,10/25/2021,10/31/2021,,AN,
